time,open,high,low,close,volume
1772668800,80.63470559534386,80.63470559534386,80.63470559534386,80.63470559534386,1
1772668800,84.79113609790136,84.79113609790136,84.79113609790136,84.79113609790136,1
1772755200,84.6821229729932,84.6821229729932,84.6821229729932,84.6821229729932,1
1773014400,83.42156113538198,83.42156113538198,83.42156113538198,83.42156113538198,1
1773100800,85.83925332192484,85.83925332192484,85.83925332192484,85.83925332192484,1
1773187200,86.19459596166756,86.19459596166756,86.19459596166756,86.19459596166756,1
1773273600,85.60259323054773,85.60259323054773,85.60259323054773,85.60259323054773,1
1773360000,86.20504706276412,86.20504706276412,86.20504706276412,86.20504706276412,1
1773619200,85.35530342220856,85.35530342220856,85.35530342220856,85.35530342220856,1
1773705600,85.52042814083454,85.52042814083454,85.52042814083454,85.52042814083454,1
1773792000,86.2336310456293,86.2336310456293,86.2336310456293,86.2336310456293,1
1773878400,83.80950657250503,83.80950657250503,83.80950657250503,83.80950657250503,1
1773964800,86.25247991999639,86.25247991999639,86.25247991999639,86.25247991999639,1
1774224000,85.93727231615583,85.93727231615583,85.93727231615583,85.93727231615583,1
1774310400,85.9732786879637,85.9732786879637,85.9732786879637,85.9732786879637,1
1774396800,85.74576644987286,85.74576644987286,85.74576644987286,85.74576644987286,1
1774569600,84.6604537393445,84.6604537393445,84.6604537393445,84.6604537393445,1
1774828800,84.03598746028887,84.03598746028887,84.03598746028887,84.03598746028887,1
1775001600,85.14810017037459,85.14810017037459,85.14810017037459,85.14810017037459,1
1775088000,85.88967426898321,85.88967426898321,85.88967426898321,85.88967426898321,1
1775433600,85.86662445371731,85.86662445371731,85.86662445371731,85.86662445371731,1
1775520000,86.1674113821874,86.1674113821874,86.1674113821874,86.1674113821874,1
1775606400,86.4474066362388,86.4474066362388,86.4474066362388,86.4474066362388,1
1775692800,86.27846234757968,86.27846234757968,86.27846234757968,86.27846234757968,1
1775779200,86.51051839763227,86.51051839763227,86.51051839763227,86.51051839763227,1
1776038400,86.33994510240254,86.33994510240254,86.33994510240254,86.33994510240254,1
1776038400,86.33994510240254,86.33994510240254,86.33994510240254,86.33994510240254,1
1776038400,86.3935071520493,86.3935071520493,86.3935071520493,86.3935071520493,1
1776038400,86.3935071520493,86.3935071520493,86.3935071520493,86.3935071520493,1
1776038400,86.3935071520493,86.3935071520493,86.3935071520493,86.3935071520493,1
1776038400,86.3935071520493,86.3935071520493,86.3935071520493,86.3935071520493,1
1776038400,86.58975800875568,86.58975800875568,86.58975800875568,86.58975800875568,1
1776038400,86.58975800875568,86.58975800875568,86.58975800875568,86.58975800875568,1
